x*, y*, z*
0.040001, 20.000000, 2.062368
2.866278, 20.000000, 0.413965
6.209653, 20.000000, 2.156887
0.925414, 20.000000, -1.312928
3.760387, 20.000000, 1.595182
4.429510, 20.000000, 1.393349
3.625473, 20.000000, 2.886989
2.890114, 20.000000, 1.856533
3.948398, 20.000000, 1.636331
3.106841, 20.000000, 1.806378
4.584281, 20.000000, 1.613190
1.768217, 20.000000, 1.631037
2.576235, 20.000000, 2.074777
-0.002646, 20.000000, 0.222322
3.457381, 20.000000, 1.042821
2.323169, 20.000000, 2.641116
1.902210, 20.000000, 2.406655
1.170249, 20.000000, 2.269207
-0.935801, 20.000000, -0.161606
5.305315, 20.000000, 1.470428
3.557405, 20.000000, 3.017892
4.110371, 20.000000, 1.824801
6.089138, 20.000000, 1.553914
5.462144, 20.000000, 1.476638
2.693380, 20.000000, 0.709846
1.706523, 20.000000, 0.788921
4.591681, 20.000000, 0.880444
0.966255, 20.000000, 1.241750
3.232676, 20.000000, 1.470557
1.852351, 20.000000, 1.434380
1.456066, 20.000000, 0.461847
2.344141, 20.000000, 0.700542
2.668880, 20.000000, 1.154044
3.655527, 20.000000, 2.304397
3.038441, 20.000000, 1.389306
4.905711, 20.000000, 0.383664
2.379424, 20.000000, -0.574503
2.927393, 20.000000, 1.985254
4.446861, 20.000000, 0.991422
4.768745, 20.000000, 2.167038
2.600788, 20.000000, 0.792729
2.392251, 20.000000, 1.402881
0.687849, 20.000000, -0.667712
3.372442, 20.000000, 3.187492
3.977575, 20.000000, 1.190359
5.269775, 20.000000, 1.987167
3.617182, 20.000000, 0.843890
3.928182, 20.000000, 2.103518
3.178745, 20.000000, 0.931304
3.593953, 20.000000, 1.912531
4.434526, 20.000000, -0.903593
3.065183, 20.000000, 1.181346
1.088361, 20.000000, 0.782624
0.023478, 20.000000, 1.252260
5.225666, 20.000000, 0.362714
6.848174, 20.000000, 0.208215
1.089947, 20.000000, 3.285557
4.389654, 20.000000, 3.211055
2.945979, 20.000000, 0.958791
0.484106, 20.000000, 1.326747
4.875195, 20.000000, 0.660439
5.746449, 20.000000, 1.277595
5.624761, 20.000000, 0.993981
5.621634, 20.000000, 1.388463
1.279172, 20.000000, 1.618180
5.941111, 20.000000, 1.779606
2.833490, 20.000000, 0.902077
3.024483, 20.000000, 1.277616
2.050940, 20.000000, 3.110764
4.134507, 20.000000, 0.255655
1.237638, 20.000000, 0.558246
2.887759, 20.000000, 2.254757
3.965924, 20.000000, 2.686633
3.660951, 20.000000, 1.286949
5.235151, 20.000000, 4.559177
3.494016, 20.000000, 1.928443
1.484848, 20.000000, 0.081952
2.012674, 20.000000, 0.480246
4.015389, 20.000000, 3.087085
-0.096658, 20.000000, 1.560553
5.137293, 20.000000, 1.249391
4.956996, 20.000000, 0.642089
4.058694, 20.000000, 1.421459
2.410916, 20.000000, 0.810401
4.413822, 20.000000, 1.337140
2.767965, 20.000000, 1.082234
3.062413, 20.000000, -1.159663
5.949000, 20.000000, -0.370538
-0.961986, 20.000000, 2.167525
3.196061, 20.000000, 1.014968
2.765297, 20.000000, 1.408813
3.510058, 20.000000, 3.396924
3.167284, 20.000000, 0.867034
4.918717, 20.000000, 1.105500
1.680729, 20.000000, 2.452807
7.446351, 20.000000, 3.405343
2.283385, 20.000000, 2.088080
3.370382, 20.000000, 1.910400
4.319859, 20.000000, 2.290870
1.290076, 20.000000, 1.791089
5.984417, 20.000000, 1.765792
5.865772, 20.000000, 2.622633
0.235258, 20.000000, 2.297712
2.859106, 20.000000, 0.545291
5.247175, 20.000000, 1.915983
5.273412, 20.000000, 0.681129
3.161566, 20.000000, 2.415047
5.524524, 20.000000, 0.654941
4.377086, 20.000000, -0.141921
2.465022, 20.000000, 1.727173
4.099070, 20.000000, 0.196580
4.139752, 20.000000, 0.951516
2.161167, 20.000000, 1.167209
4.978845, 20.000000, 1.826904
4.521900, 20.000000, 1.021010
3.918778, 20.000000, 2.026839
4.394099, 20.000000, 1.832307
5.278270, 20.000000, 1.314307
2.553190, 20.000000, 1.701659
1.033779, 20.000000, 0.502575
2.042161, 20.000000, 0.802384
1.755611, 20.000000, 2.261795
2.565480, 20.000000, 2.492349
5.031483, 20.000000, 1.628192
2.488064, 20.000000, 2.246414
2.018136, 20.000000, 3.347316
0.731155, 20.000000, 1.730389
1.240788, 20.000000, 1.460641
1.891492, 20.000000, 1.430075
5.099959, 20.000000, 1.103238
0.670067, 20.000000, 0.447726
5.503446, 20.000000, 1.320605
5.067241, 20.000000, 2.884431
2.571220, 20.000000, 2.597415
3.373936, 20.000000, 3.478681
1.199103, 20.000000, 1.724739
4.575433, 20.000000, 2.391816
4.235300, 20.000000, 0.303787
1.564410, 20.000000, 1.321718
5.903514, 20.000000, 2.467843
2.717183, 20.000000, 0.045236
4.146277, 20.000000, 1.998781
1.036256, 20.000000, -0.191552
3.025204, 20.000000, 1.191271
2.215741, 20.000000, 2.296906
5.568033, 20.000000, 0.611239
4.148498, 20.000000, 1.760713
-0.280881, 20.000000, 0.132544
4.839513, 20.000000, 0.085725
0.842823, 20.000000, 1.318888
0.846324, 20.000000, 1.190902
2.603843, 20.000000, 1.253738
3.666855, 20.000000, 0.112085
1.659579, 20.000000, 4.123668
1.341286, 20.000000, 0.837944
4.834915, 20.000000, 1.823970
3.509744, 20.000000, 1.681340
4.751221, 20.000000, 1.646648
4.153803, 20.000000, 1.674484
1.496403, 20.000000, -0.401078
3.013523, 20.000000, 1.305475
4.815165, 20.000000, 0.684603
2.897632, 20.000000, 0.870348
2.041782, 20.000000, 2.643655
3.303506, 20.000000, 1.807052
2.805912, 20.000000, 2.498505
2.886943, 20.000000, 0.897016
3.307424, 20.000000, 1.755744
2.697769, 20.000000, 1.934102
-0.090234, 20.000000, 1.196158
3.979479, 20.000000, 1.608373
3.914690, 20.000000, 1.791031
5.679579, 20.000000, 1.698644
1.267759, 20.000000, 1.508750
1.376908, 20.000000, 0.544198
1.295375, 20.000000, 0.424716
1.238422, 20.000000, 1.666266
7.871909, 20.000000, 2.715494
6.501340, 20.000000, 2.924717
-0.449327, 20.000000, 2.317960
0.297281, 20.000000, 1.379832
3.093310, 20.000000, 0.721971
7.803554, 20.000000, 0.930316
1.706649, 20.000000, 2.264418
6.015501, 20.000000, 2.098370
5.128031, 20.000000, 1.515864
3.378389, 20.000000, 0.896993
5.558139, 20.000000, -0.428373
6.646385, 20.000000, 0.698988
4.692336, 20.000000, 1.348108
3.115450, 20.000000, 1.713719
